timestamp,open,high,low,close
2024-06-01T02:00:00+00:00,67560.00000000,67740.00000000,67546.52000000,67729.05000000
2024-06-01T03:00:00+00:00,67729.05000000,67757.14000000,67623.24000000,67715.31000000
2024-06-01T04:00:00+00:00,67715.31000000,67763.81000000,67656.00000000,67680.01000000
2024-06-01T05:00:00+00:00,67680.01000000,67810.00000000,67603.00000000,67686.35000000
2024-06-01T06:00:00+00:00,67686.35000000,67729.87000000,67607.94000000,67693.32000000
2024-06-01T07:00:00+00:00,67693.32000000,67733.01000000,67575.23000000,67632.08000000
2024-06-01T08:00:00+00:00,67632.07000000,67741.06000000,67611.61000000,67704.00000000
2024-06-01T09:00:00+00:00,67704.00000000,67760.00000000,67635.00000000,67706.69000000
2024-06-01T10:00:00+00:00,67706.69000000,67750.00000000,67627.32000000,67627.33000000
2024-06-01T11:00:00+00:00,67627.33000000,67694.00000000,67627.32000000,67660.57000000
2024-06-01T12:00:00+00:00,67660.57000000,67872.50000000,67640.00000000,67717.76000000
2024-06-01T13:00:00+00:00,67717.76000000,67837.00000000,67714.28000000,67720.01000000
2024-06-01T14:00:00+00:00,67720.01000000,67870.00000000,67673.00000000,67803.34000000
2024-06-01T15:00:00+00:00,67803.33000000,67824.00000000,67668.01000000,67691.28000000
2024-06-01T16:00:00+00:00,67691.28000000,67719.99000000,67612.00000000,67700.01000000
2024-06-01T17:00:00+00:00,67700.01000000,67900.00000000,67556.72000000,67791.02000000
2024-06-01T18:00:00+00:00,67791.02000000,67821.73000000,67726.32000000,67750.71000000
2024-06-01T19:00:00+00:00,67750.70000000,67782.64000000,67685.72000000,67753.76000000
2024-06-01T20:00:00+00:00,67753.76000000,67796.54000000,67700.00000000,67796.54000000
2024-06-01T21:00:00+00:00,67796.54000000,67820.20000000,67713.23000000,67760.01000000
2024-06-01T22:00:00+00:00,67760.01000000,67885.00000000,67710.00000000,67765.40000000
2024-06-01T23:00:00+00:00,67765.41000000,67819.78000000,67723.00000000,67766.85000000
2024-06-02T00:00:00+00:00,67766.84000000,67910.55000000,67744.00000000,67889.00000000
2024-06-02T01:00:00+00:00,67888.99000000,67900.00000000,67710.00000000,67755.00000000
2024-06-02T02:00:00+00:00,67755.00000000,67815.00000000,67643.33000000,67733.26000000
2024-06-02T03:00:00+00:00,67733.25000000,67807.99000000,67726.31000000,67789.47000000
2024-06-02T04:00:00+00:00,67789.48000000,67852.63000000,67745.18000000,67852.62000000
2024-06-02T05:00:00+00:00,67852.62000000,67867.60000000,67728.40000000,67728.40000000
2024-06-02T06:00:00+00:00,67728.41000000,67852.33000000,67724.60000000,67841.09000000
2024-06-02T07:00:00+00:00,67841.09000000,67842.91000000,67720.41000000,67721.00000000
2024-06-02T08:00:00+00:00,67721.01000000,67812.57000000,67671.81000000,67750.67000000
2024-06-02T09:00:00+00:00,67750.68000000,67772.65000000,67377.79000000,67529.99000000
2024-06-02T10:00:00+00:00,67530.00000000,67581.97000000,67367.20000000,67529.99000000
